country,state,city,gender,senior_citizen,partner,dependents,tenure_months,phone_service,multiple_lines,internet_service,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,contract,paperless_billing,payment_method,monthly_charges,total_charges,churn_label,churn_value,churn_score,cltv,churn_reason,tenure_group
United States,California,Los Angeles,Male,0,0,0,2,1,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,1,Mailed check,53.85,108.15,Yes,1,86,3239,Competitor made better offer,0–1 year
United States,California,Los Angeles,Female,0,0,1,2,1,No,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Electronic check,70.7,151.65,Yes,1,67,2701,Moved,0–1 year
United States,California,Los Angeles,Female,0,0,1,8,1,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,1,Electronic check,99.65,820.5,Yes,1,86,5372,Moved,0–1 year
United States,California,Los Angeles,Female,0,1,1,28,1,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,1,Electronic check,104.8,3046.05,Yes,1,84,5003,Moved,2–3 years
United States,California,Los Angeles,Male,0,0,1,49,1,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,1,Bank transfer (automatic),103.7,5036.3,Yes,1,89,5340,Competitor had better devices,4–5 years
United States,California,Los Angeles,Female,0,1,0,10,1,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,0,Credit card (automatic),55.2,528.35,Yes,1,78,5925,Competitor offered higher download speeds,0–1 year
United States,California,Los Angeles,Male,1,0,0,1,0,No,DSL,No,No,Yes,No,No,Yes,Month-to-month,1,Electronic check,39.65,39.65,Yes,1,100,5433,Competitor offered more data,0–1 year
United States,California,Los Angeles,Male,0,0,0,1,1,No,No,No,No,No,No,No,No,Month-to-month,0,Mailed check,20.15,20.15,Yes,1,92,4832,Competitor made better offer,0–1 year
United States,California,Los Angeles,Male,0,1,1,47,1,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,1,Electronic check,99.35,4749.15,Yes,1,77,5789,Competitor had better devices,3–4 years
United States,California,Los Angeles,Male,0,1,0,1,0,No,DSL,No,Yes,No,No,No,No,Month-to-month,0,Electronic check,30.2,30.2,Yes,1,97,2915,Competitor had better devices,0–1 year
United States,California,Los Angeles,Female,0,0,0,17,1,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,1,Mailed check,64.7,1093.1,Yes,1,74,3022,Competitor offered higher download speeds,1–2 years
United States,California,Los Angeles,Male,0,0,1,5,1,No,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Electronic check,69.7,316.9,Yes,1,66,2454,Competitor offered higher download speeds,0–1 year
United States,California,Los Angeles,Male,0,0,1,34,1,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,1,Electronic check,106.35,3549.25,Yes,1,65,2941,Competitor offered higher download speeds,2–3 years
United States,California,Los Angeles,Female,0,0,1,11,1,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,1,Bank transfer (automatic),97.85,1105.4,Yes,1,70,5674,Competitor offered more data,0–1 year
United States,California,Los Angeles,Female,0,0,1,2,1,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,1,Electronic check,80.65,144.15,Yes,1,90,5586,Competitor offered more data,0–1 year
